Portfolio,Market State,Rebal Type,Rebal Value,Strategy,NoTLH_Final_NAV,NoTLH_Liq_NAV,TLH_Final_NAV,TLH_Liq_NAV,Pre_Liq_TaxAlpha,Post_Liq_TaxAlpha,TLH_Events,ExecCost_NoTLH,ExecCost_TLH,LiqTax_NoTLH,LiqTax_TLH
100/0 (TA ETF),Past 10Y (2016–2025),Absolute Threshold,0.2,Abs Threshold 20% | No TLH,3239358.21,2787359.63,3206052.35,2759372.34,-33305.85999999987,-27987.290000000037,5,1198.56,1972.18,448111.35,442834.91
100/0 (TA ETF),Past 10Y (2016–2025),Calendar,Monthly,Monthly Rebal | No TLH,2949905.41,2596529.4,2926595.82,2575325.47,-23309.590000000317,-21203.929999999702,257,4344.02,6763.3,349822.32,347742.47
100/0 (TA ETF),Past 10Y (2016–2025),Calendar,Quarterly,Quarterly Rebal | No TLH,2972312.99,2609652.96,2967917.79,2599314.88,-4395.200000000186,-10338.080000000075,114,3199.54,4876.24,359071.37,365018.58
100/0 (TA ETF),Past 10Y (2016–2025),Calendar,Yearly,Yearly Rebal | No TLH,3015083.32,2641359.79,3024127.54,2637021.4,9044.220000000205,-4338.39000000013,32,2403.19,3926.49,370090.23,383460.98
100/0 (TA ETF),Past 10Y (2016–2025),Relative Threshold,0.25,Rel Threshold 25% | No TLH,3021765.81,2638512.81,3023227.52,2622829.06,1461.7099999999627,-15683.75,23,1904.95,3433.54,379618.53,396767.63
100/0 (TA ETF),Past 10Y (2016–2025),Relative Threshold,0.5,Rel Threshold 50% | No TLH,3079216.7,2683812.1,3053689.96,2653984.61,-25526.740000000224,-29827.490000000224,7,1818.12,2634.71,391681.39,396042.18
2-ETF (IVV/EFA),Past 10Y (2016–2025),Absolute Threshold,0.05,Abs Threshold 5% | No TLH,2561314.26,2263576.51,2564216.67,2247776.61,2902.410000000149,-15799.899999999907,5,1773.08,3842.05,294649.6,313360.28
2-ETF (IVV/EFA),Past 10Y (2016–2025),Absolute Threshold,0.1,Abs Threshold 10% | No TLH,2613863.01,2298033.84,2609054.35,2282177.92,-4808.659999999683,-15855.919999999925,3,1561.64,3529.8,312676.92,323746.83
2-ETF (IVV/EFA),Past 10Y (2016–2025),Absolute Threshold,0.2,Abs Threshold 20% | No TLH,2696822.22,2353981.88,2671508.38,2332212.13,-25313.840000000317,-21769.75,2,1198.56,2801.91,339604.16,336092.06
2-ETF (IVV/EFA),Past 10Y (2016–2025),Calendar,Monthly,Monthly Rebal | No TLH,2507619.68,2231722.55,2520483.94,2243219.83,12864.259999999776,11497.28000000026,56,3423.68,4263.63,272876.94,274223.43
2-ETF (IVV/EFA),Past 10Y (2016–2025),Calendar,Quarterly,Quarterly Rebal | No TLH,2525074.16,2239382.38,2570684.3,2269157.31,45610.139999999665,29774.930000000168,28,2599.56,4263.42,282647.73,298423.59
2-ETF (IVV/EFA),Past 10Y (2016–2025),Calendar,Yearly,Yearly Rebal | No TLH,2540407.42,2251232.46,2585507.18,2274163.5,45099.76000000024,22931.040000000037,10,2080.42,3570.2,286111.63,308224.65
2-ETF (IVV/EFA),Past 10Y (2016–2025),Relative Threshold,0.25,Rel Threshold 25% | No TLH,2606996.63,2309095.3,2592881.16,2283952.38,-14115.46999999974,-25142.919999999925,2,1952.55,3569.82,294739.59,305795.92
2-ETF (IVV/EFA),Past 10Y (2016–2025),Relative Threshold,0.5,Rel Threshold 50% | No TLH,2656962.74,2359996.73,2646093.1,2339089.5,-10869.64000000013,-20907.22999999998,2,2069.22,3704.4,293720.53,303787.86
3-ETF (SPY/TLT/GLD),Past 10Y (2016–2025),Absolute Threshold,0.05,Abs Threshold 5% | No TLH,1915330.58,1785525.97,2006932.85,1825960.41,91602.27000000002,40434.439999999944,20,3135.0,7250.42,127476.98,178546.02
3-ETF (SPY/TLT/GLD),Past 10Y (2016–2025),Absolute Threshold,0.1,Abs Threshold 10% | No TLH,1976749.75,1822049.82,2054159.3,1850502.86,77409.55000000005,28453.040000000037,7,2356.39,5779.04,152300.49,201173.3
3-ETF (SPY/TLT/GLD),Past 10Y (2016–2025),Absolute Threshold,0.2,Abs Threshold 20% | No TLH,2168435.97,1958461.89,2223756.77,1976586.97,55320.799999999814,18125.080000000075,4,1943.66,4897.42,207331.84,244486.36
3-ETF (SPY/TLT/GLD),Past 10Y (2016–2025),Calendar,Monthly,Monthly Rebal | No TLH,1870152.59,1756345.55,1943840.6,1785039.23,73688.01000000001,28693.679999999935,114,6070.95,10068.47,111537.21,156444.78
3-ETF (SPY/TLT/GLD),Past 10Y (2016–2025),Calendar,Quarterly,Quarterly Rebal | No TLH,1909103.6,1790293.01,1997975.92,1822186.31,88872.31999999983,31893.300000000047,55,4302.72,8710.49,116490.4,173376.38
3-ETF (SPY/TLT/GLD),Past 10Y (2016–2025),Calendar,Yearly,Yearly Rebal | No TLH,1928900.78,1781115.18,2022011.73,1821391.57,93110.94999999995,40276.39000000013,23,2535.41,6365.32,145454.34,198188.75
3-ETF (SPY/TLT/GLD),Past 10Y (2016–2025),Relative Threshold,0.25,Rel Threshold 25% | No TLH,1945408.94,1797171.59,2033391.91,1838006.95,87982.96999999997,40835.35999999987,9,2425.44,6170.61,145886.62,192933.62
3-ETF (SPY/TLT/GLD),Past 10Y (2016–2025),Relative Threshold,0.5,Rel Threshold 50% | No TLH,2055291.96,1897457.31,2133826.47,1927490.18,78534.51000000024,30032.86999999988,6,2559.67,6330.99,155316.26,203741.36
40/60 (TA ETF),Past 10Y (2016–2025),Absolute Threshold,0.05,Abs Threshold 5% | No TLH,1633002.75,1525881.14,1629437.44,1499577.68,-3565.310000000056,-26303.459999999963,36,1844.36,4771.06,105143.53,127894.4
40/60 (TA ETF),Past 10Y (2016–2025),Absolute Threshold,0.1,Abs Threshold 10% | No TLH,1713191.37,1595050.36,1700327.2,1566354.65,-12864.170000000158,-28695.710000000196,19,1893.87,4313.4,116044.72,131913.63
40/60 (TA ETF),Past 10Y (2016–2025),Absolute Threshold,0.2,Abs Threshold 20% | No TLH,1917161.95,1731189.25,1899032.72,1703269.2,-18129.22999999998,-27920.050000000047,17,1198.56,3085.1,183672.1,193487.79
40/60 (TA ETF),Past 10Y (2016–2025),Calendar,Monthly,Monthly Rebal | No TLH,1542429.4,1468024.37,1545107.96,1451428.85,2678.560000000056,-16595.52000000002,505,4750.44,10437.66,72544.36,91814.62
40/60 (TA ETF),Past 10Y (2016–2025),Calendar,Quarterly,Quarterly Rebal | No TLH,1564595.08,1487543.7,1567667.57,1469887.92,3072.4899999999907,-17655.780000000028,255,3407.63,7741.06,75158.48,95881.97
40/60 (TA ETF),Past 10Y (2016–2025),Calendar,Yearly,Yearly Rebal | No TLH,1570306.58,1484713.14,1585757.54,1476417.77,15450.959999999963,-8295.369999999879,94,2327.23,5577.51,83698.49,107425.74
40/60 (TA ETF),Past 10Y (2016–2025),Relative Threshold,0.25,Rel Threshold 25% | No TLH,1574034.6,1495138.85,1576485.38,1474090.3,2450.779999999795,-21048.550000000047,89,2676.7,6099.26,76994.62,100488.71
40/60 (TA ETF),Past 10Y (2016–2025),Relative Threshold,0.5,Rel Threshold 50% | No TLH,1597598.13,1506765.66,1598097.51,1483746.2,499.3800000001211,-23019.459999999963,52,2063.78,5217.2,88894.17,112416.32
100/0 (TA ETF),Past 20Y (2006–2025),Absolute Threshold,0.05,Abs Threshold 5% | No TLH,4507947.39,3833704.08,4469985.07,3752897.59,-37962.31999999937,-80806.49000000022,47,1989.69,11139.14,668796.88,711713.87
100/0 (TA ETF),Past 20Y (2006–2025),Absolute Threshold,0.1,Abs Threshold 10% | No TLH,4996911.41,4336232.06,4504685.48,3985276.11,-492225.9299999997,-350955.9499999997,34,3737.81,12302.85,654455.01,513680.3
100/0 (TA ETF),Past 20Y (2006–2025),Absolute Threshold,0.2,Abs Threshold 20% | No TLH,5181902.24,4339063.8,4777007.87,3987910.06,-404894.3700000001,-351153.73999999976,34,1198.56,8044.37,836620.16,783369.39
100/0 (TA ETF),Past 20Y (2006–2025),Calendar,Monthly,Monthly Rebal | No TLH,4173614.85,3608670.8,4093118.0,3519666.17,-80496.8500000001,-89004.62999999989,558,7430.7,19144.2,559915.23,568515.56
100/0 (TA ETF),Past 20Y (2006–2025),Calendar,Quarterly,Quarterly Rebal | No TLH,4216913.0,3638712.87,4275791.97,3639480.2,58878.96999999974,767.3300000000745,308,5116.77,15369.74,573106.67,631141.17
100/0 (TA ETF),Past 20Y (2006–2025),Calendar,Yearly,Yearly Rebal | No TLH,4289335.67,3698485.57,4421549.86,3744679.89,132214.1900000004,46194.3200000003,126,3602.32,13834.71,585678.94,671537.2
100/0 (TA ETF),Past 20Y (2006–2025),Relative Threshold,0.25,Rel Threshold 25% | No TLH,4351541.14,3730830.11,4245090.03,3592733.6,-106451.1099999994,-138096.50999999978,81,2783.48,12487.69,615474.01,647254.1
100/0 (TA ETF),Past 20Y (2006–2025),Relative Threshold,0.5,Rel Threshold 50% | No TLH,4431040.1,3805032.68,4420994.07,3741726.26,-10046.02999999933,-63306.42000000039,49,2560.63,11441.17,620637.49,673914.75
2-ETF (IVV/EFA),Past 20Y (2006–2025),Absolute Threshold,0.05,Abs Threshold 5% | No TLH,3309067.26,2897407.65,3372497.71,2897127.98,63430.450000000186,-279.6699999999255,11,2538.65,9357.72,407658.0,471295.56
2-ETF (IVV/EFA),Past 20Y (2006–2025),Absolute Threshold,0.1,Abs Threshold 10% | No TLH,3448466.61,2977126.04,3480343.39,2963168.14,31876.78000000026,-13957.899999999907,8,1927.18,8349.66,467180.69,512998.84
2-ETF (IVV/EFA),Past 20Y (2006–2025),Absolute Threshold,0.2,Abs Threshold 20% | No TLH,3604927.33,3137412.61,3628087.03,3110936.91,23159.69999999972,-26475.69999999972,8,2433.54,10263.96,463101.25,512797.67
2-ETF (IVV/EFA),Past 20Y (2006–2025),Calendar,Monthly,Monthly Rebal | No TLH,3219392.2,2824891.69,3312182.0,2862424.62,92789.79999999981,37532.93000000017,128,5451.99,12380.57,390620.97,445758.29
2-ETF (IVV/EFA),Past 20Y (2006–2025),Calendar,Quarterly,Quarterly Rebal | No TLH,3247490.18,2840144.58,3375299.06,2903742.32,127808.87999999989,63597.73999999976,67,3885.89,10363.57,403427.64,467477.67
2-ETF (IVV/EFA),Past 20Y (2006–2025),Calendar,Yearly,Yearly Rebal | No TLH,3273608.07,2862095.55,3385820.95,2908164.22,112212.88000000035,46068.67000000039,30,2834.47,7818.23,407561.18,473556.18
2-ETF (IVV/EFA),Past 20Y (2006–2025),Relative Threshold,0.25,Rel Threshold 25% | No TLH,3387826.96,2956573.56,3497227.43,2997020.15,109400.4700000002,40446.58999999985,9,2431.2,8569.08,427144.65,495976.27
2-ETF (IVV/EFA),Past 20Y (2006–2025),Relative Threshold,0.5,Rel Threshold 50% | No TLH,3563166.94,3070954.11,3597381.6,3055717.9,34214.66000000015,-15236.209999999963,8,1874.63,8857.77,487899.37,537348.1
3-ETF (SPY/TLT/GLD),Past 20Y (2006–2025),Absolute Threshold,0.05,Abs Threshold 5% | No TLH,3168692.49,2872062.75,3236078.68,2884222.35,67386.18999999994,12159.600000000093,42,7134.27,15140.55,292775.64,347923.39
3-ETF (SPY/TLT/GLD),Past 20Y (2006–2025),Absolute Threshold,0.1,Abs Threshold 10% | No TLH,3254690.96,2911810.62,3465474.59,3049161.67,210783.6299999999,137351.0499999998,18,4346.75,10318.73,338925.84,412098.41
3-ETF (SPY/TLT/GLD),Past 20Y (2006–2025),Absolute Threshold,0.2,Abs Threshold 20% | No TLH,3617235.87,3255169.41,3687949.93,3266666.31,70714.06000000006,11496.899999999907,10,4947.65,11067.02,357618.02,416778.06
3-ETF (SPY/TLT/GLD),Past 20Y (2006–2025),Calendar,Monthly,Monthly Rebal | No TLH,3038280.6,2775353.45,3082006.67,2774409.98,43726.06999999983,-943.4700000002049,158,15053.91,21964.15,259236.89,303856.47
3-ETF (SPY/TLT/GLD),Past 20Y (2006–2025),Calendar,Quarterly,Quarterly Rebal | No TLH,3137555.53,2863565.03,3023997.94,2713329.8,-113557.58999999985,-150235.22999999998,115,9715.15,18031.04,270176.89,306994.48
3-ETF (SPY/TLT/GLD),Past 20Y (2006–2025),Calendar,Yearly,Yearly Rebal | No TLH,3215189.9,2880003.93,3232906.78,2847692.09,17716.87999999989,-32311.840000000317,33,5284.33,10871.01,331295.7,381300.99
3-ETF (SPY/TLT/GLD),Past 20Y (2006–2025),Relative Threshold,0.25,Rel Threshold 25% | No TLH,3231977.32,2899015.05,3300540.38,2919500.85,68563.06000000006,20485.80000000028,23,5018.61,11497.13,329056.01,377051.2
3-ETF (SPY/TLT/GLD),Past 20Y (2006–2025),Relative Threshold,0.5,Rel Threshold 50% | No TLH,3596119.35,3209184.7,3540290.43,3122538.69,-55828.919999999925,-86646.01000000024,9,4870.17,10745.98,382522.54,413420.31
40/60 (TA ETF),Past 20Y (2006–2025),Absolute Threshold,0.05,Abs Threshold 5% | No TLH,1891910.06,1762346.33,1822387.82,1671227.23,-69522.23999999999,-91119.1000000001,99,2822.93,8694.32,127263.21,148974.09
40/60 (TA ETF),Past 20Y (2006–2025),Absolute Threshold,0.1,Abs Threshold 10% | No TLH,2012416.09,1846322.66,1938708.18,1753267.45,-73707.91000000015,-93055.20999999996,73,2071.87,7379.35,163619.61,183114.96
40/60 (TA ETF),Past 20Y (2006–2025),Absolute Threshold,0.2,Abs Threshold 20% | No TLH,2419440.24,2132409.15,2235599.67,1977668.82,-183840.5700000003,-154740.32999999984,51,1198.56,5316.26,284127.76,255256.6
40/60 (TA ETF),Past 20Y (2006–2025),Calendar,Monthly,Monthly Rebal | No TLH,1795107.52,1677772.05,1758412.17,1631287.54,-36695.35000000009,-46484.51000000001,886,8212.35,18374.22,115168.07,125000.33
40/60 (TA ETF),Past 20Y (2006–2025),Calendar,Quarterly,Quarterly Rebal | No TLH,1821715.17,1704288.16,1800874.23,1666390.98,-20840.939999999944,-37897.179999999935,536,5433.44,14395.81,115219.78,132300.87
40/60 (TA ETF),Past 20Y (2006–2025),Calendar,Yearly,Yearly Rebal | No TLH,1839688.58,1714692.45,1825508.84,1676452.19,-14179.73999999999,-38240.26000000001,227,3396.05,10463.17,122774.81,146856.34
40/60 (TA ETF),Past 20Y (2006–2025),Relative Threshold,0.25,Rel Threshold 25% | No TLH,1822585.3,1703619.4,1806672.76,1663259.84,-15912.540000000037,-40359.55999999982,211,3724.81,10750.51,116762.39,141224.71
40/60 (TA ETF),Past 20Y (2006–2025),Relative Threshold,0.5,Rel Threshold 50% | No TLH,1907691.78,1774855.91,1867693.16,1706954.18,-39998.62000000011,-67901.72999999998,112,2976.82,8752.22,130512.96,158468.49
100/0 (TA ETF),Past 5Y (2021–2025),Absolute Threshold,0.05,Abs Threshold 5% | No TLH,1746581.62,1594929.68,1751728.85,1597992.98,5147.229999999981,3063.3000000000466,8,1198.56,2246.45,149556.04,151635.06
100/0 (TA ETF),Past 5Y (2021–2025),Absolute Threshold,0.1,Abs Threshold 10% | No TLH,1746581.62,1594929.68,1751728.85,1597992.98,5147.229999999981,3063.3000000000466,8,1198.56,2246.45,149556.04,151635.06
100/0 (TA ETF),Past 5Y (2021–2025),Absolute Threshold,0.2,Abs Threshold 20% | No TLH,1746581.62,1594929.68,1751728.85,1597992.98,5147.229999999981,3063.3000000000466,8,1198.56,2246.45,149556.04,151635.06
100/0 (TA ETF),Past 5Y (2021–2025),Calendar,Monthly,Monthly Rebal | No TLH,1715186.16,1577307.66,1724025.18,1577297.45,8839.020000000019,-10.209999999962747,104,2409.5,3958.41,135814.45,144650.16
100/0 (TA ETF),Past 5Y (2021–2025),Calendar,Quarterly,Quarterly Rebal | No TLH,1722799.1,1581725.91,1729305.15,1577389.9,6506.049999999814,-4336.010000000009,52,1992.83,3395.66,138997.68,149830.76
100/0 (TA ETF),Past 5Y (2021–2025),Calendar,Yearly,Yearly Rebal | No TLH,1737261.22,1591947.72,1755315.72,1595565.14,18054.5,3617.4199999999255,17,1639.49,2959.49,143222.58,157639.57
100/0 (TA ETF),Past 5Y (2021–2025),Relative Threshold,0.25,Rel Threshold 25% | No TLH,1741187.36,1597026.21,1753848.72,1594594.1,12661.35999999987,-2432.1099999998696,19,1630.26,2926.72,142065.36,157150.92
100/0 (TA ETF),Past 5Y (2021–2025),Relative Threshold,0.5,Rel Threshold 50% | No TLH,1739521.68,1591941.83,1746655.48,1589043.65,7133.800000000047,-2898.1800000001676,8,1356.84,2486.02,145488.39,155513.34
2-ETF (IVV/EFA),Past 5Y (2021–2025),Absolute Threshold,0.05,Abs Threshold 5% | No TLH,1621211.12,1500403.03,1617817.66,1484090.2,-3393.4600000001956,-16312.830000000075,4,1500.24,3355.42,118856.09,131786.08
2-ETF (IVV/EFA),Past 5Y (2021–2025),Absolute Threshold,0.1,Abs Threshold 10% | No TLH,1638661.96,1517043.6,1636269.91,1500648.95,-2392.0500000000466,-16394.65000000014,2,1533.23,3158.02,119639.37,133652.29
2-ETF (IVV/EFA),Past 5Y (2021–2025),Absolute Threshold,0.2,Abs Threshold 20% | No TLH,1632236.49,1503590.8,1622825.63,1494912.0,-9410.860000000102,-8678.800000000047,2,1198.56,2811.84,126687.01,125967.49
2-ETF (IVV/EFA),Past 5Y (2021–2025),Calendar,Monthly,Monthly Rebal | No TLH,1602801.58,1485848.9,1626929.42,1494545.18,24127.83999999985,8696.280000000028,22,2073.33,3223.93,115024.53,130423.9
2-ETF (IVV/EFA),Past 5Y (2021–2025),Calendar,Quarterly,Quarterly Rebal | No TLH,1610318.26,1489330.05,1607819.63,1474526.58,-2498.630000000121,-14803.469999999972,13,1794.52,3614.6,119050.07,131363.36
2-ETF (IVV/EFA),Past 5Y (2021–2025),Calendar,Yearly,Yearly Rebal | No TLH,1615106.39,1493169.8,1616692.45,1481537.95,1586.0600000000559,-11631.850000000093,4,1568.22,3384.5,119992.84,133214.48
2-ETF (IVV/EFA),Past 5Y (2021–2025),Relative Threshold,0.25,Rel Threshold 25% | No TLH,1630068.34,1509440.08,1627334.58,1492788.35,-2733.7600000000093,-16651.72999999998,2,1503.03,3128.45,118660.7,132589.37
2-ETF (IVV/EFA),Past 5Y (2021–2025),Relative Threshold,0.5,Rel Threshold 50% | No TLH,1632236.49,1503590.8,1622825.63,1494912.0,-9410.860000000102,-8678.800000000047,2,1198.56,2811.84,126687.01,125967.49
3-ETF (SPY/TLT/GLD),Past 5Y (2021–2025),Absolute Threshold,0.05,Abs Threshold 5% | No TLH,1217539.36,1177735.68,1252084.62,1191130.04,34545.26000000001,13394.360000000102,14,2067.96,6608.08,38339.83,59452.07
3-ETF (SPY/TLT/GLD),Past 5Y (2021–2025),Absolute Threshold,0.1,Abs Threshold 10% | No TLH,1257818.55,1209838.88,1285162.54,1215892.24,27343.98999999999,6053.360000000102,8,1657.17,5975.75,46461.82,67729.37
3-ETF (SPY/TLT/GLD),Past 5Y (2021–2025),Absolute Threshold,0.2,Abs Threshold 20% | No TLH,1315549.84,1263721.51,1348237.04,1267384.19,32687.199999999953,3662.679999999935,6,1749.0,5653.61,50229.83,79234.96
3-ETF (SPY/TLT/GLD),Past 5Y (2021–2025),Calendar,Monthly,Monthly Rebal | No TLH,1186544.98,1157212.27,1232340.1,1172734.37,45795.12000000011,15522.100000000093,49,2796.95,6586.59,27898.14,58126.92
3-ETF (SPY/TLT/GLD),Past 5Y (2021–2025),Calendar,Quarterly,Quarterly Rebal | No TLH,1191300.17,1161806.81,1245073.46,1180433.03,53773.29000000004,18626.219999999972,23,2148.76,5261.65,28052.74,63146.34
3-ETF (SPY/TLT/GLD),Past 5Y (2021–2025),Calendar,Yearly,Yearly Rebal | No TLH,1232751.02,1192552.66,1281031.41,1209705.31,48280.3899999999,17152.65000000014,12,1830.63,6237.35,38712.6,69788.85
3-ETF (SPY/TLT/GLD),Past 5Y (2021–2025),Relative Threshold,0.25,Rel Threshold 25% | No TLH,1234734.02,1195105.64,1268994.48,1206762.7,34260.45999999996,11657.060000000056,9,1763.26,6189.03,38141.35,60708.99
3-ETF (SPY/TLT/GLD),Past 5Y (2021–2025),Relative Threshold,0.5,Rel Threshold 50% | No TLH,1299591.09,1240276.88,1324743.74,1248212.42,25152.649999999907,7935.540000000037,6,1531.2,5436.51,57751.0,74942.88
40/60 (TA ETF),Past 5Y (2021–2025),Absolute Threshold,0.05,Abs Threshold 5% | No TLH,1185425.96,1149402.54,1184996.93,1129420.31,-429.03000000002794,-19982.22999999998,33,1422.17,4654.57,34596.74,54155.89
40/60 (TA ETF),Past 5Y (2021–2025),Absolute Threshold,0.1,Abs Threshold 10% | No TLH,1232553.28,1184323.85,1228005.23,1163833.71,-4548.050000000047,-20490.14000000013,30,1198.56,4368.26,46750.37,62700.29
40/60 (TA ETF),Past 5Y (2021–2025),Absolute Threshold,0.2,Abs Threshold 20% | No TLH,1232553.28,1184323.85,1228005.23,1163833.71,-4548.050000000047,-20490.14000000013,30,1198.56,4368.26,46750.37,62700.29
40/60 (TA ETF),Past 5Y (2021–2025),Calendar,Monthly,Monthly Rebal | No TLH,1142966.67,1118620.52,1149143.32,1099416.22,6176.65000000014,-19204.300000000047,211,2511.87,8744.69,22970.32,48346.55
40/60 (TA ETF),Past 5Y (2021–2025),Calendar,Quarterly,Quarterly Rebal | No TLH,1147204.73,1122446.83,1155164.89,1105616.23,7960.159999999916,-16830.600000000093,119,1969.67,6783.06,23374.92,48162.46
40/60 (TA ETF),Past 5Y (2021–2025),Calendar,Yearly,Yearly Rebal | No TLH,1161901.47,1134109.34,1170958.99,1119065.0,9057.520000000019,-15044.340000000084,46,1678.6,4982.31,26392.6,50488.83
40/60 (TA ETF),Past 5Y (2021–2025),Relative Threshold,0.25,Rel Threshold 25% | No TLH,1159451.99,1133417.31,1167516.58,1116439.99,8064.590000000084,-16977.320000000065,52,1890.17,5202.66,24636.17,49675.56
40/60 (TA ETF),Past 5Y (2021–2025),Relative Threshold,0.5,Rel Threshold 50% | No TLH,1187844.92,1155001.31,1191538.1,1135069.48,3693.1800000001676,-19931.830000000075,31,1529.0,4736.66,31408.5,55038.79
